id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
807633,"Venice, Veneto, Italy",Santa Croce,3,$142.00,447,4.89
809281,"Venice, Veneto, Italy",Castello,6,$160.00,107,4.64
819328,"Venice, Veneto, Italy",Castello,5,$149.00,324,4.43
831560,"Venice, Veneto, Italy",Santa Croce,3,$153.00,370,4.77
840779,"Venice, Veneto, Italy",Castello,10,$195.00,308,4.61
846521,,Lido,4,$153.00,23,4.87
855214,"Venice, Italy",Castello,3,$150.00,32,4.84
861429,,Santa Croce,2,$75.00,694,4.74
867034,,Cannaregio,2,$104.00,35,4.54
879892,,Dorsoduro,3,$128.00,4,4.33
880052,"Venice, Veneto, Italy",Cannaregio,10,$270.00,310,4.79
884350,,Cannaregio,4,$248.00,52,4.85
888033,"Venice, Veneto, Italy",Marghera,4,$65.00,399,4.86
895952,,Castello,4,$185.00,28,4.29
899373,"Venice, Veneto, Italy",San Marco,5,$338.00,124,4.67
906161,"Lido di Venezia, Venezia, Italy",Lido,2,$88.00,74,4.77
906617,"Venice, Italia, Veneto, Italy",Dorsoduro,4,$88.00,303,4.7
909547,"Venice, Veneto, Italy",Cannaregio,2,$146.00,138,4.93
909754,"Venice, Italy",Castello,5,$139.00,561,4.92
926604,"Venice, Veneto, Italy",Cannaregio,2,$160.00,164,4.79
932119,"Venice, Veneto, Italy",Dorsoduro,6,$500.00,242,4.91
945052,"Venice, Veneto, Italy",Castello,3,$190.00,63,4.27
954068,"Venice, Italy",Cannaregio,6,$250.00,74,4.35
958986,"Mestre, Veneto, Italy",Piave 1860,2,,143,4.95
962131,"Venice, Veneto, Italy",Castello,2,$214.00,7,5.0
963154,,San Marco,4,$294.00,59,4.9
964344,"Venice, Veneto, Italy",Cannaregio,2,$129.00,475,4.77
970938,"Venice, Veneto, Italy",Cannaregio,2,$86.00,464,4.62
973340,"Venice, Veneto, Italy",Cannaregio,2,$84.00,525,4.71
975073,"Venice, Veneto, Italy",San Marco,4,$154.00,415,4.64
985304,"Venice, Veneto, Italy",Cannaregio,4,$400.00,233,4.93
986851,"Venice, Veneto, Italy",Castello,4,$186.00,95,4.85
991419,"Venice, Veneto, Italy",Castello,2,$100.00,90,4.63
996282,"Venice, Veneto, Italy",Lido,5,$115.00,91,4.64
999441,"Barbarigo, Lido de Venezia, Italy",Lido,6,$220.00,123,4.76
1000262,"Venice, Veneto, Italy",Dorsoduro,2,$117.00,279,4.73
1005533,"Venice, Veneto, Italy",Castello,5,,44,4.51
1011701,"Venice, Veneto, Italy",Cannaregio,3,$104.00,117,4.88
1012804,"Venice, Italy",Santa Croce,6,$199.00,54,4.81
1020909,"Venice, Veneto, Italy",Castello,5,$194.00,29,4.38
1034213,"Venice, Veneto, Italy",Castello,4,$260.00,417,4.9
1034640,,Alberoni,6,$117.00,57,4.75
1038620,"Venice, Veneto, Italy",Cannaregio,2,,122,4.8
1041640,"Venice, Veneto, Italy",Cannaregio,5,$145.00,286,4.64
1043678,,Favaro,2,$36.00,608,4.9
1045123,"Venice, Veneto, Italy",Castello,3,$173.00,35,4.56
1100254,"Venice, Veneto, Italy",Dorsoduro,2,$120.00,164,4.58
1119040,"Venice, Veneto, Italy",Santa Croce,4,$305.00,526,4.97
1126573,"Venice, Veneto, Italy",Castello,4,$153.00,312,4.89
1142769,,Cannaregio,2,$102.00,381,4.7
1142800,,Vignole,2,,0,
1163834,,Castello,2,$152.00,290,4.77
1169013,"Venice, Veneto, Italy",Cannaregio,3,$145.00,437,4.71
1177309,"Venice, Veneto, Italy",Santa Croce,8,$308.00,298,4.67
1181536,,Campalto,2,$177.00,2,4.5
1188334,"Venice, Veneto, Italy",San Marco,3,$250.00,342,4.98
1196659,,Castello,2,$130.00,154,4.63
1230451,"Venice, Veneto, Italy",Cannaregio,2,$167.00,126,4.71
1231584,"Venice, Italy",San Marco,2,$144.00,228,4.52
1238329,"Venice, Veneto, Italy",Cannaregio,2,$151.00,472,4.75
1250065,"Venice, Veneto, Italy",Cannaregio,3,$126.00,409,4.89
