id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
939735,,DUOMO,2,$450.00,2,5.0
949022,"Milan, Lombardy, Italy",TICINESE,2,,29,4.76
957146,"Milan, Lombardy, Italy",SARPI,2,$90.00,590,4.85
959677,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,2,$55.00,458,4.83
959718,"Milan, Lombardy, Italy",WASHINGTON,6,$150.00,386,4.88
961760,,BUENOS AIRES - VENEZIA,2,$85.00,158,4.81
962104,"Milan, Lombardy, Italy",GUASTALLA,1,$61.00,408,4.35
965636,"Milan, Lombardy, Italy",WASHINGTON,4,$205.00,48,4.83
966693,"Milan, Lombardy, Italy",NAVIGLI,3,$77.00,0,
970760,"Milan, Lombardy, Italy",SARPI,4,$79.00,217,4.84
974116,,LORETO,3,$118.00,3,4.33
975346,,NAVIGLI,4,$150.00,10,4.67
976417,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,3,$350.00,5,4.8
976705,,MAGENTA - S. VITTORE,6,$211.00,23,4.78
976817,"Milan, Lombardy, Italy",TICINESE,2,$120.00,8,4.5
982808,"Milan, Lombardy, Italy",TICINESE,2,$231.00,869,4.97
985287,"Milan, Lombardy, Italy",NAVIGLI,6,$235.00,157,4.92
991182,,BICOCCA,4,$334.00,0,
996360,"Milan, Lombardy, Italy",SARPI,2,$94.00,64,4.53
1001862,,PADOVA,4,$400.00,2,5.0
1008610,,VIGENTINA,2,$117.00,9,5.0
1012803,,DUOMO,2,$166.00,6,2.67
1013625,,DERGANO,4,$147.00,2,5.0
1013771,,QUINTO ROMANO,1,,0,
1022828,"Milan, Lombardy, Italy",PORTA ROMANA,2,$68.00,565,4.88
1023443,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,3,$44.00,46,4.5
1025621,,LORETO,2,$148.00,172,4.57
1029260,,PARCO FORLANINI - ORTICA,2,$85.00,46,4.69
1029915,,TORTONA,4,$137.00,92,4.84
1031124,,TICINESE,2,$150.00,7,4.57
1031215,,PARCO FORLANINI - ORTICA,2,$85.00,28,4.68
1035314,,TICINESE,6,,117,4.86
1036695,"Milan, Lombardy, Italy",SARPI,3,,260,4.59
1037333,,SARPI,2,,9,5.0
1042549,"Milan, Lombardy, Italy",RONCHETTO SUL NAVIGLIO,3,$120.00,30,4.93
1042759,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,3,$63.00,54,4.74
1043512,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,2,,8,4.63
1048002,,GARIBALDI REPUBBLICA,2,,23,4.91
1052451,"Milan, Lombardy, Italy",CORSICA,2,$48.00,92,4.84
1053345,"Milan, Lombardy, Italy",SARPI,2,$98.00,18,4.59
1053413,"Milan, Lombardy, Italy",SARPI,1,$67.00,113,4.77
1071178,"Milan, Lombardy, Italy",NAVIGLI,4,$209.00,56,4.64
1075625,,UMBRIA - MOLISE,2,$54.00,0,
1079906,"Milan, Lombardy, Italy",NAVIGLI,4,$103.00,329,4.88
1084745,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,2,,390,4.82
1085495,"Milan, Lombardy, Italy",SCALO ROMANA,2,$90.00,1,3.0
1086828,,CORSICA,4,$60.00,26,4.81
1089183,"Milan, Lombardy, Italy",VIALE MONZA,4,$89.00,34,4.97
1096459,"Milan, Lombardy, Italy",DE ANGELI - MONTE ROSA,3,$78.00,6,4.83
1102432,,LORETO,4,$60.00,64,4.72
1108775,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,1,$34.00,109,4.8
1109746,"Milan, Lombardy, Italy",ISOLA,2,$129.00,79,4.7
1122608,"Milan, Lombardy, Italy",CORSICA,1,$40.00,29,4.9
1134583,"Milan, Lombardy, Italy",TIBALDI,3,$79.00,69,4.59
1143214,"Milan, Lombardy, Italy",LORETO,2,$52.00,623,4.74
1147164,"Milan, Lombardy, Italy",ISOLA,7,$160.00,87,4.68
1152639,,ISOLA,3,$76.00,0,
1158156,"Milan, Lombardy, Italy",PARCO DEI NAVIGLI,1,$40.00,191,4.82
1158292,"Milan, Lombardy, Italy",STADERA,2,$41.00,106,4.8
1162305,"Milan, Lombardy, Italy",TICINESE,1,$100.00,29,4.9
1172987,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,2,$92.00,151,4.83
1189341,,UMBRIA - MOLISE,4,$100.00,3,5.0
1204633,,NAVIGLI,2,$134.00,166,4.53
1215461,"Milan, Lombardy, Italy",STADERA,2,$79.00,12,4.25
1221743,"Milan, Lombardy, Italy",CENTRALE,2,$268.00,38,4.42
1230783,"Milan, Lombardy, Italy",BRERA,3,$213.00,0,
1238903,,BANDE NERE,2,$86.00,55,4.95
1251238,"Milan, Lombardy, Italy",LORETO,4,$83.00,120,4.09
1258433,"Milan, Lombardy, Italy",GHISOLFA,2,$177.00,2,5.0
1258803,,BUENOS AIRES - VENEZIA,4,$223.00,427,4.93
1261284,"Milan, Lombardy, Italy",MAGENTA - S. VITTORE,3,$208.00,55,5.0
1263067,"Milan, Lombardy, Italy",BRERA,2,$152.00,1,5.0
1272777,"Milan, Lombardy, Italy",GUASTALLA,1,$62.00,20,4.75
1277405,"Milan, Lombardy, Italy",STADERA,4,$90.00,5,4.6
1289847,"Milan, Lombardy, Italy",NAVIGLI,6,$85.00,52,4.83
1298488,"Milan, Lombardy, Italy",NAVIGLI,2,$92.00,4,4.5
1299572,"Milan, Lombardy, Italy",XXII MARZO,3,$254.00,75,4.54
1332040,"Milan, Lombardy, Italy",NAVIGLI,8,$121.00,173,4.85
1333571,,GUASTALLA,2,,46,4.75
1349317,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,2,$197.00,15,4.93
1374831,"Milan, Lombardy, Italy",TORTONA,4,$152.00,0,
1375952,,TORTONA,2,$120.00,4,4.5
1379640,"Milan, Lombardy, Italy",NAVIGLI,2,$150.00,249,4.99
1427356,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,2,$181.00,19,4.84
1428272,"Milan, Lombardy, Italy",WASHINGTON,2,$77.00,15,4.6
1448128,,MAGENTA - S. VITTORE,3,$150.00,17,5.0
1453656,"Milan, Lombardy, Italy",BRERA,4,$195.00,201,4.66
1464907,"Milan, Lombardy, Italy",DERGANO,3,$51.00,21,4.95
1482235,"Milan, Lombardia, Italy",DUOMO,3,$115.00,1132,4.66
1485286,"Milan, Lombardy, Italy",TICINESE,2,$77.00,54,4.65
1503614,"Milan, Lombardy, Italy",RONCHETTO SUL NAVIGLIO,2,$161.00,25,4.4
1530211,"Milan, Lombardy, Italy",BOVISA,2,$50.00,9,4.89
1555263,"Milan, Lombardy, Italy",FARINI,1,$69.00,90,4.49
1590485,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,2,$140.00,19,4.89
1591216,"Milan, Lombardy, Italy",DUOMO,5,,45,4.91
1599603,"Milan, Lombardy, Italy",PADOVA,1,,0,
1605608,"Milan, Lombardy, Italy",DERGANO,2,$57.00,972,4.72
1607270,"Milan, Lombardy, Italy",GIAMBELLINO,2,$60.00,60,4.59
1611524,"Milan, Lombardy, Italy",NAVIGLI,4,$170.00,457,4.88
1616087,,NAVIGLI,4,$134.00,0,
1619342,,DUOMO,2,$184.00,8,4.86
1639692,"Milan, Lombardy, Italy",EX OM - MORIVIONE,1,,14,4.93
1642569,"Milan, Lombardy, Italy",BANDE NERE,2,$420.00,2,5.0
1643649,"Milan, Lombardy, Italy",TICINESE,2,$71.00,38,4.49
1643921,"Milan, Lombardy, Italy",BANDE NERE,2,$215.00,3,4.33
1676827,,VILLAPIZZONE,2,$201.00,19,4.72
1680025,,BUENOS AIRES - VENEZIA,2,$80.00,0,
1680715,"Milan, Lombardy, Italy",TICINESE,2,,37,4.95
1695647,,LODI - CORVETTO,2,,12,4.73
1701780,"Milan, Lombardy, Italy",NAVIGLI,2,$79.00,184,4.87
1723087,,BOVISA,2,$150.00,15,4.47
1739580,"Milan, Lombardy, Italy",DUOMO,6,$409.00,86,4.94
1779952,"Milan, Lombardy, Italy",PORTA ROMANA,2,$94.00,101,4.74
1780385,,ORTOMERCATO,4,$119.00,29,4.76
1791898,"Milan, Lombardy, Italy",XXII MARZO,2,,131,4.54
1798842,,BANDE NERE,4,$101.00,134,4.85
1801571,,MAGENTA - S. VITTORE,2,$119.00,74,4.89
1805675,,VILLAPIZZONE,2,$84.00,64,4.87
1825542,"Milan, MI, Italy",S. CRISTOFORO,2,$65.00,116,4.58
1835589,"Milan, Lombardy, Italy",GRECO,2,,216,4.52
1841882,"Milan, Lombardy, Italy",PORTA ROMANA,4,$55.00,122,4.91
1877743,,S. CRISTOFORO,1,$130.00,10,4.6
1902250,"Milan, Lombardy, Italy",MAGENTA - S. VITTORE,4,$116.00,93,4.67
1904148,,BUENOS AIRES - VENEZIA,3,,1,5.0
1912740,,VIGENTINA,3,$183.00,76,4.95
1913232,,ISOLA,4,$119.00,291,4.88
1962869,"Milan, Lombardy, Italy",PORTA ROMANA,3,$70.00,324,4.85
2001515,"Milan, Lombardy, Italy",ISOLA,2,$59.00,324,4.81
2002197,"Milan, Lombardy, Italy",GALLARATESE,4,,28,4.86
