id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
137724,,I Centro Storico,2,$140.00,263,4.71
138192,"Rome, Lazio, Italy",I Centro Storico,2,$95.00,102,4.48
139330,,V Prenestino/Centocelle,2,$90.00,27,4.78
140801,"Rome, Lazio, Italy",I Centro Storico,2,$131.00,237,4.73
141614,"Rome, Lazio, Italy",I Centro Storico,3,$118.00,48,4.33
141634,"Rome, Lazio, Italy",I Centro Storico,3,,90,4.63
142483,"Rome, Lazio, Italy",I Centro Storico,1,,147,4.51
272634,,I Centro Storico,2,,9,4.67
273092,,II Parioli/Nomentano,10,$400.00,8,4.63
273971,"Rome, Lazio, Italy",VII San Giovanni/Cinecittà,4,$59.00,113,4.68
275420,"Rome, Lazio, Italy",I Centro Storico,2,$149.00,242,4.87
276602,,I Centro Storico,4,,124,4.66
277084,"Rome, Italy",I Centro Storico,2,$82.00,24,4.61
147381,,I Centro Storico,2,$94.00,304,4.56
147670,,I Centro Storico,4,$213.00,6,4.67
153542,"Rome, Lazio, Italy",XIV Monte Mario,2,,10,4.9
155179,,I Centro Storico,2,$118.00,222,4.72
156445,,I Centro Storico,2,$123.00,157,4.69
156873,,VII San Giovanni/Cinecittà,6,$69.00,2,4.0
158722,"Rome, Lazio, Italy",I Centro Storico,5,$366.00,42,4.2
158761,"Rome, Lazio, Italy",I Centro Storico,4,$90.00,8,4.75
280117,"Rome, Lazio, Italy",XIV Monte Mario,2,$104.00,40,4.9
280198,,I Centro Storico,3,$140.00,138,4.72
281393,"Rome, Lazio, Italy",XV Cassia/Flaminia,9,$250.00,7,5.0
281629,,I Centro Storico,2,$128.00,194,4.93
282037,,I Centro Storico,4,$238.00,22,4.95
282831,,I Centro Storico,8,$258.00,33,4.48
282929,,VII San Giovanni/Cinecittà,3,$26.00,12,4.2
161978,"Rome, Lazio, Italy",II Parioli/Nomentano,3,$138.00,213,4.62
163008,"Rome, Lazio, Italy",I Centro Storico,5,$153.00,684,4.69
163107,"Rome, Lazio, Italy",I Centro Storico,4,$100.00,17,4.71
163111,,I Centro Storico,4,$93.00,9,4.75
166454,,I Centro Storico,3,$78.00,583,4.78
166894,,I Centro Storico,3,$81.00,721,4.75
171442,"Rome, Lazio, Italy",XV Cassia/Flaminia,2,,0,
172334,,VI Roma delle Torri,4,$190.00,23,4.7
175380,"Rome, Lazio, Italy",I Centro Storico,6,$130.00,298,4.8
181189,,I Centro Storico,4,,164,4.73
181747,"Rome, Lazio, Italy",I Centro Storico,5,$117.00,146,4.69
283620,"Rome, Lazio, Italy",I Centro Storico,9,$440.00,257,4.83
283699,"Rome, Lazio, Italy",I Centro Storico,2,$120.00,291,4.93
285564,"Rome, Lazio, Italy",I Centro Storico,6,$296.00,155,4.84
287297,"Rome, Lazio, Italy",I Centro Storico,5,$228.00,26,4.52
289471,"Rome, Lazio, Italy",I Centro Storico,4,$245.00,118,4.62
290388,,I Centro Storico,2,$123.00,31,4.68
325252,"Rome, Lazio, Italy",XII Monte Verde,4,$118.00,56,4.81
325961,"Rome, Lazio, Italy",I Centro Storico,7,$259.00,252,4.88
326062,,I Centro Storico,9,,34,4.62
326361,"Rome, Lazio, Italy",I Centro Storico,2,$99.00,28,4.58
326494,"Rome, Lazio, Italy",I Centro Storico,3,$119.00,26,4.81
326537,"Rome, Lazio, Italy",I Centro Storico,2,$109.00,100,4.76
329492,"Rome, Lazio, Italy",II Parioli/Nomentano,2,,25,4.36
329494,"Rome, Lazio, Italy",II Parioli/Nomentano,4,,11,4.0
291274,"Rome, Lazio, Italy",XII Monte Verde,3,$70.00,270,4.72
293274,,I Centro Storico,3,$72.00,9,4.0
295715,,I Centro Storico,6,$190.00,85,4.95
